date,forecast,ci80_lower,ci80_upper,ci95_lower,ci95_upper
2031-01-01,18626.324508590696,8228.850472816563,29023.79854436483,2705.192391311555,34547.45662586984
2031-02-01,17166.58172606276,6769.107690288625,27564.05576183689,1245.4496087836178,33087.7138433419
2031-03-01,18753.93012176365,8356.456085989515,29151.404157537785,2832.798004484508,34675.06223904279
2031-04-01,19049.428128789867,8651.954093015733,29446.902164564002,3128.2960115107253,34970.560246069006
2031-05-01,23638.753721752946,13241.279685978812,34036.22775752708,7717.621604473805,39559.88583903209
2031-06-01,29666.413219742055,19268.939183967923,40063.88725551619,13745.281102462914,45587.5453370212
2031-07-01,21303.545605464264,10906.07156969013,31701.019641238396,5382.413488185122,37224.67772274341
2031-08-01,21270.192451090337,10872.718415316203,31667.666486864473,5349.060333811196,37191.32456836948
2031-09-01,17476.44274360484,7078.968707830705,27873.916779378975,1555.3106263256977,33397.57486088398
2031-10-01,24493.9467683396,14096.472732565466,34891.42080411373,8572.814651060458,40415.07888561874
2031-11-01,19230.586072642473,8833.112036868339,29628.060108416605,3309.4539553633313,35151.718189921616
2031-12-01,19860.26188784253,9462.787852068397,30257.735923616667,3939.1297705633897,35781.39400512167
2032-01-01,19454.21380641875,9056.739770644615,29851.687842192885,3533.081689139608,35375.34592369789
2032-02-01,17926.773735443305,7529.299699669171,28324.247771217437,2005.6416181641634,33847.90585272245
2032-03-01,19581.361628787836,9183.887593013702,29978.83566456197,3660.2295115086945,35502.493746066975
2032-04-01,19886.818300960676,9489.344265186543,30284.292336734812,3965.686183681535,35807.950418239816
2032-05-01,24674.092492711417,14276.618456937284,35071.56652848555,8752.960375432276,40595.22460999056
2032-06-01,30961.028454105195,20563.554418331063,41358.50248987933,15039.896336826054,46882.16057138434
2032-07-01,22229.844349807594,11832.37031403346,32627.318385581726,6308.712232528453,38150.97646708674
2032-08-01,22191.701957757003,11794.227921982869,32589.175993531135,6270.569840477861,38112.834075036146
2032-09-01,18230.86816709492,7833.394131320785,28628.342202869055,2309.7360498157777,34152.00028437406
2032-10-01,25547.51469962382,15150.040663849688,35944.98873539796,9626.38258234468,41468.64681690296
2032-11-01,20054.80459460154,9657.330558827407,30452.278630375673,4133.6724773224,35975.936711880684
2032-12-01,20708.4387822845,10310.964746510364,31105.912818058634,4787.306665005357,36629.57089956364
2033-01-01,20282.1031042468,9884.629068472665,30679.577140020934,4360.970986967657,36203.23522152594
2033-02-01,18686.965744823843,8289.49170904971,29084.439780597975,2765.833627544702,34608.097862102986
2033-03-01,20408.793135812022,10011.319100037888,30806.267171586158,4487.661018532881,36329.92525309116
2033-04-01,20724.208473131483,10326.734437357349,31121.682508905615,4803.076355852341,36645.340590410626
2033-05-01,25709.43126366989,15311.957227895755,36106.90529944402,9788.299146390747,41630.56338094903
2033-06-01,32255.643688468335,21858.169652694203,42653.11772424247,16334.511571189194,48176.77580574748
2033-07-01,23156.143094150924,12758.66905837679,33553.617129925056,7235.010976871783,39077.27521143007
2033-08-01,23113.211464423664,12715.73742864953,33510.6855001978,7192.079347144523,39034.34358170281
2033-09-01,18985.293590585003,8587.819554810869,29382.767626359135,3064.1614733058614,34906.425707864146
2033-10-01,26601.082630908048,16203.608595133914,36998.55666668218,10679.950513628906,42522.21474818719
2033-11-01,20879.023116560606,10481.549080786472,31276.49715233474,4957.890999281464,36800.155233839745
2033-12-01,21556.615676726466,11159.141640952332,31954.0897125006,5635.483559447324,37477.747794005605
2034-01-01,21109.992402074855,10712.518366300721,31507.46643784899,5188.860284795714,37031.124519353994
2034-02-01,19447.157754204385,9049.683718430251,29844.63178997852,3526.025636925244,35368.289871483525
2034-03-01,21236.22464283621,10838.750607062075,31633.698678610344,5315.092525557067,37157.35676011535
2034-04-01,21561.598645302292,11164.124609528159,31959.072681076424,5640.466528023151,37482.730762581436
2034-05-01,26744.770034628364,16347.29599885423,37142.2440704025,10823.637917349222,42665.9021519075
2034-06-01,33550.258922831476,23152.784887057343,43947.73295860561,17629.126805552332,49471.39104011062
2034-07-01,24082.44183849425,13684.967802720117,34479.91587426839,8161.30972121511,40003.57395577339
2034-08-01,24034.72097109033,13637.246935316196,34432.195006864466,8113.5888538111885,39955.85308836947
2034-09-01,19739.71901407509,9342.244978300956,30137.193049849222,3818.5868967959486,35660.85113135423
2034-10-01,27654.65056219227,17257.176526418138,38052.1245979664,11733.518444913128,43575.78267947141
2034-11-01,21703.241638519674,11305.76760274554,32100.71567429381,5782.109521240533,37624.37375579881
2034-12-01,22404.79257116843,12007.318535394295,32802.26660694256,6483.660453889288,38325.92468844757
2035-01-01,21937.881699902904,11540.40766412877,32335.35573567704,6016.749582623763,37859.01381718204
2035-02-01,20207.349763584923,9809.87572781079,30604.82379935906,4286.217646305782,36128.48188086406
2035-03-01,22063.656149860395,11666.182114086261,32461.13018563453,6142.524032581254,37984.788267139535
2035-04-01,22398.9888174731,12001.514781698965,32796.462853247234,6477.856700193957,38320.12093475224
2035-05-01,27780.108805586835,17382.6347698127,38177.58284136097,11858.976688307694,43701.240922865974
2035-06-01,34844.874157194616,24447.400121420484,45242.34819296875,18923.742039915473,50766.00627447376
2035-07-01,25008.74058283758,14611.266547063447,35406.21461861172,9087.60846555844,40929.87270011672
2035-08-01,24956.23047775699,14558.756441982858,35353.70451353113,9035.09836047785,40877.36259503613
2035-09-01,20494.144437565174,10096.67040179104,30891.61847333931,4573.012320286032,36415.27655484431
2035-10-01,28708.218493476492,18310.744457702356,39105.69252925063,12787.08637619735,44629.35061075563
2035-11-01,22527.46016047874,12129.986124704605,32924.93419625287,6606.328043199597,38448.59227775788
2035-12-01,23252.969465610397,12855.495429836263,33650.44350138453,7331.837348331255,39174.10158288954
